"sample","condition","n_cells"
"G10","Healthy",4804
"G14","Healthy",5394
"G15","Healing",2248
"G16","Healthy",2915
"G1A","DM",985
"G2","Healing",3942
"G23","Healing",4599
"G24","Healthy",3509
"G28","Healthy",2479
"G2A","DM",542
"G3","DM",1982
"G31","Healthy",3463
"G32","Healthy",4191
"G33","NonHealing",4266
"G34","NonHealing",3411
"G38","DM",1104
"G39","NonHealing",2304
"G3A","DM",1011
"G4","Healing",2745
"G40","Healthy",1630
"G41","DM",1712
"G42","Healing",1737
"G43","Healthy",723
"G44","Healthy",1368
"G45","Healing",3165
"G46","DM",1080
"G49","Healing",2660
"G5","DM",2629
"G50","Healthy",2819
"G6","NonHealing",2268
"G7","Healing",1755
"G8","Healing",2410
"G9","NonHealing",4287
