"sample","condition","n_cells","median_nFeature","median_nCount","median_pct_mt"
"G10","Healthy",4825,1598,4555,3.27537403962798
"G14","Healthy",5399,1555,3939,8.92857142857143
"G15","Healing",2250,1871,6243.5,7.2261907642578
"G16","Healthy",2922,2508.5,8203,3.72940831202236
"G1A","DM",985,1232,2682,1.80412371134021
"G2","Healing",3951,1631,4186,3.11799013010319
"G23","Healing",4630,2256,6612,5.36011673881579
"G24","Healthy",3515,1882,5633,6.92722765057605
"G28","Healthy",2483,2359,7708,6.12291264341702
"G2A","DM",542,1632,5073.5,2.44188286546532
"G3","DM",1984,1557,4005,2.78550779290012
"G31","Healthy",3465,2136,5914,6.09981515711645
"G32","Healthy",4192,2035.5,5190,4.77850136831261
"G33","NonHealing",4268,2021,5697.5,9.23249891493738
"G34","NonHealing",3413,2147,6410,7.91713325867861
"G38","DM",1475,2941,10313,9.57284327733163
"G39","NonHealing",2899,2624,8029,7.64192139737991
"G3A","DM",1011,1411,3619,2.87119652253489
"G4","Healing",2865,1978,6599,2.79257304992782
"G40","Healthy",2590,2047,6434,11.4599457707158
"G41","DM",2437,2169,5917,8.34396258503401
"G42","Healing",2235,1888,6594,5.85077831454643
"G43","Healthy",1092,3193.5,11738,8.22721219023304
"G44","Healthy",2074,2251.5,6354,10.3292475314947
"G45","Healing",4202,2862,9816.5,7.88940616627602
"G46","DM",1659,2519,7959,9.45740365111562
"G49","Healing",4040,2195,6882,8.53658957604406
"G5","DM",2630,1727,5495.5,3.04681022959917
"G50","Healthy",3531,2310,6732,8.93672537508154
"G6","NonHealing",2279,1397,5214,2.9897718332022
"G7","Healing",1775,1973,6145,3.29702678834265
"G8","Healing",2417,1896,5832,3.60762059181192
"G9","NonHealing",4290,1691.5,4969,3.2494498183538
