"cluster","n_cells","auto_type","top_score","second_type","second_score","top_markers"
"0",8348,"Fibroblast",2.60422970330161,"B_cell",-0.0174559107143461,"PCOLCE2,C1QTNF3,SFRP4,PI16,PRG4"
"1",8255,"Fibroblast",2.03710153728911,"B_cell",-0.0179306294781631,"IGF1,C3,C7,GDF10,STMN2"
"2",7345,"Pericyte_SMC",1.08014106195928,"Fibroblast",0.885786059416756,"RGS5,FAM162B,HIGD1B,TRPC6,ENPEP"
"3",6745,"Fibroblast",0.802416686688232,"Pericyte_SMC",0.70172062431518,"FHL2,FHL5,SSTR2,CLSTN2,ADGRL3"
"4",5973,"Pericyte_SMC",1.46771365191664,"Fibroblast",0.176583843410974,"RERGL,PLN,CASQ2,RBPMS2,PRPH"
"5",5782,"T_cell",0.999451551158499,"NK_cell",0.488728625946731,"CD3E,KLRB1,GZMA,NKG7,CD40LG"
"6",4738,"Keratinocyte",2.16314996004166,"Neutrophil",0.552106827305996,"KRT1,DSC1,KRT2,THEM5,RDH12"
"7",4042,"Endothelial",1.34913986317399,"Lymphatic_Endo",-0.00983149537494875,"ACKR1,SELE,CCL14,SELP,CCL23"
"8",3619,"Endothelial",1.39522354287747,"Lymphatic_Endo",0.0063179708310252,"RBP7,MECOM,BTNL9,GPIHBP1,SEMA3G"
"9",3288,"DC",0.62005468011282,"Macrophage",0.535053299083628,"IL1B,LGALS2,OLR1,EREG,CD1C"
"10",3261,"Fibroblast",2.66146085456099,"Melanocyte",-0.0177813695695323,"NKD2,DIO2,COL23A1,RSPO1,ROBO2"
"11",3237,"Keratinocyte",1.56935278278511,"Neutrophil",0.190576263255541,"COL17A1,ALDH3A1,SYT8,LAMB4,GDPD2"
"12",3029,"Macrophage",1.86570473471748,"Lymphatic_Endo",0.402443006593169,"C1QB,FOLR2,LILRB5,CD209,CCL18"
"13",2678,"Mast_cell",1.02491861642399,"B_cell",0.415907899140189,"TPSAB1,TPSB2,CTSG,CPA3,MS4A1"
"14",2020,"Fibroblast",2.32863002265257,"NK_cell",-0.00454798992134831,"MMP1,MMP3,IL11,CXCL6,MMP13"
"15",1780,"Keratinocyte",0.956203909132154,"B_cell",-0.0253918396022514,"KRT7,KRT19,MMP7,GABRP,AQP5"
"16",1675,"Keratinocyte",1.03907404753942,"Fibroblast",0.16138427888938,"UBE2C,PBK,DLGAP5,SPC25,PIMREG"
"17",1661,"Pericyte_SMC",1.3380611961673,"Fibroblast",0.495134858390295,"DES,P2RX1,HSD17B6,SCUBE3,ACTC1"
"18",1573,"Keratinocyte",1.22818097339939,"Neutrophil",0.313944981395062,"CALML5,KRT6B,KRT6A,KRT16,DCD"
"19",1236,"Pericyte_SMC",0.823936563310394,"Fibroblast",0.715173569507652,"RGS5,LGI4,SYNPO2,LMOD1,STEAP4"
"20",1170,"Endothelial",0.719266360476723,"Fibroblast",0.22421741132141,"SOX18,PLVAP,RAMP3,ECSCR,ADGRL4"
"21",1082,"Fibroblast",2.03268776409163,"Mast_cell",0.00224558337928299,"MEG3,LRP1,THBS2,TNXB,MRC2"
"22",937,"Melanocyte",1.86339197566976,"Mast_cell",0.183897659052179,"DCT,MLANA,TYRP1,TYR,CA14"
"23",894,"Fibroblast",1.34060594986116,"Lymphatic_Endo",-0.0188086098251994,"APOD,FOXD1,SLC22A3,ANGPTL7,TNNC1"
"24",892,"Lymphatic_Endo",1.08529832210387,"Endothelial",0.84028807463771,"TFF3,CCL21,PROX1,PKHD1L1,LINC00636"
"25",414,"Fibroblast",2.86343044727135,"Neutrophil",0.0823567651378717,"MFAP5,C1QTNF3,OGN,WNT2,AC062004.1"
"26",294,"Keratinocyte",1.43374718024686,"Fibroblast",0.75486642616658,"DSC1,DMKN,THEM5,POF1B,KRT2"
"27",107,"T_cell",0.841654255423678,"NK_cell",0.64360705401538,"FAM111B,HIST1H1B,PKMYT1,CDCA5,CDCA8"
"28",62,"Fibroblast",0.97496991443817,"T_cell",0.593687383466809,"CD3D,TRBC2,CTSW,TRBC1,TNFRSF18"
