"seurat_clusters","DM","Healing","Healthy","NonHealing"
"0",1334,2944,2837,1233
"1",1469,1770,3671,1345
"2",861,2881,2434,1169
"3",887,2181,2950,727
"4",626,1524,2404,1419
"5",632,1927,1478,1745
"6",391,728,2522,1097
"7",722,959,1620,741
"8",711,884,1377,647
"9",252,1506,729,801
"10",545,806,1387,523
"11",355,364,1772,746
"12",311,1001,536,1181
"13",123,826,1094,635
"14",141,1368,388,123
"15",295,283,926,276
"16",133,596,728,218
"17",139,287,876,359
"18",198,332,686,357
"19",140,482,387,227
"20",206,424,314,226
"21",167,375,334,206
"22",97,14,562,264
"23",89,121,657,27
"24",184,174,394,140
"25",15,399,0,0
"26",7,32,187,68
"27",8,56,25,18
"28",7,17,20,18
