"celltype","n_cells","HIF1A_pos","NFKB1_pos","dual_pos","cor_pearson","cor_spearman"
"Endothelial",8831,41.7280036235987,25.659608198392,15.7626542860378,0.113530327455406,0.171181946904372
"Fibroblast",31019,44.7403204487572,18.7401270189239,11.3575550469067,0.074098018320962,0.122858279715381
"Keratinocyte",13297,40.7385124464165,28.3071369481838,15.7027901030308,0.0809121743899227,0.141754308550224
"Lymphatic_Endo",892,41.4798206278027,30.4932735426009,17.4887892376682,0.117421016110372,0.160697707364711
"Macrophage",3029,41.8950148563882,22.5817101353582,13.3377352261472,0.160184894334223,0.174706643099157
"Mast_cell",2678,11.6504854368932,8.47647498132935,2.0537714712472,0.070343296729444,0.109601036252832
"Melanocyte",937,13.5538954108858,11.5261472785486,2.88153681963714,0.000384129024359432,0.0937875459382981
"Myeloid",3288,54.7749391727494,55.7177615571776,34.3065693430657,0.124124758929498,0.126953663751054
"Pericyte",8581,44.2372683836383,17.9582799207552,12.2946043584664,0.106678078280923,0.17785276626469
"Smooth_Muscle",7634,39.8742467906733,10.9641079381713,5.92088027246529,0.0672432936570609,0.084162654846538
"T_cell",5951,19.5597378591833,21.66022517224,6.53671651823223,0.0934193329172762,0.12031570345758
