"seurat_clusters","HIF","NFKB","M1","M2","n"
"0",0.157492265791094,1.20926313837267,0.450326602676314,-0.380726869915456,1176
"1",-0.180871570037625,-0.191201960394987,-0.293344650881518,0.363498358225613,908
"2",-0.172322468212578,-0.358265319165028,-0.395923619600051,0.476253426613261,769
"3",-0.178691391689994,0.491087053133853,-0.094770949367104,0.284441121979746,650
"4",-0.0756919384260748,0.0196087660167393,-0.124335386287266,-0.154084203884998,559
"5",0.0401753848320949,0.436197634407127,-0.0622299092556292,0.122958095481003,529
"6",-0.0323177836470232,0.764595163461739,0.160719301421442,-0.46999419961064,466
"7",-0.108990548921378,0.0648723425743516,-0.140882804800673,-0.370172635411862,323
"8",-0.00596096317992171,0.177628241557715,-0.187068566594987,-0.603052799751635,224
"9",-0.180388416624598,-0.214474051527359,-0.266944979929924,-0.472077129073015,124
"10",-0.038484666488957,0.216871723236038,0.0237381299896024,-0.631790691749552,104
"11",-0.0229434153638835,0.174825138385614,-0.150890951174669,-0.262264055662342,104
"12",-0.142742142786337,0.0377593461208277,-0.183591109162243,-0.597995131828051,98
"13",0.00553063117229762,0.605980381816341,0.0668791425075005,-0.037745697524745,96
"14",-0.0953419271555969,-0.002346647774758,-0.244306774460174,-0.625173916835373,75
"15",-0.0356349932504806,0.0473493697401227,-0.133939214234441,-0.416472939985894,66
"16",0.25307242541986,-0.358522766211272,-0.547522967750161,-0.643299661032832,46
