"seurat_clusters","n","HIF","NFKB","M1","M2","Hypoxia","Healing_pct","NonHealing_pct","HIF_NF_coupled","M1_M2_bias"
"0",1176,0.157492265791094,1.20926313837267,0.450326602676314,-0.380726869915456,0.184245038337582,75.9353741496599,14.3707482993197,1.36675540416376,0.831053472591769
"6",466,-0.0323177836470232,0.764595163461739,0.160719301421442,-0.46999419961064,0.0873242603049049,41.2017167381974,26.3948497854077,0.732277379814716,0.630713501032082
"13",96,0.00553063117229762,0.605980381816341,0.0668791425075005,-0.037745697524745,0.0609112466390728,0,0,0.611511012988638,0.104624840032245
"5",529,0.0401753848320949,0.436197634407127,-0.0622299092556292,0.122958095481003,0.0812595781261868,66.1625708884688,23.062381852552,0.476373019239222,-0.185188004736632
"3",650,-0.178691391689994,0.491087053133853,-0.094770949367104,0.284441121979746,0.0732109390338431,18.4615384615385,52.3076923076923,0.31239566144386,-0.37921207134685
"10",104,-0.038484666488957,0.216871723236038,0.0237381299896024,-0.631790691749552,0.0181330651015813,36.5384615384615,22.1153846153846,0.178387056747081,0.655528821739154
"8",224,-0.00596096317992171,0.177628241557715,-0.187068566594987,-0.603052799751635,0.0830819325169923,41.9642857142857,4.46428571428571,0.171667278377793,0.415984233156647
"11",104,-0.0229434153638835,0.174825138385614,-0.150890951174669,-0.262264055662342,0.0421686281437867,42.3076923076923,24.0384615384615,0.151881723021731,0.111373104487673
"15",66,-0.0356349932504806,0.0473493697401227,-0.133939214234441,-0.416472939985894,-0.0116254194063272,31.8181818181818,22.7272727272727,0.0117143764896421,0.282533725751452
"7",323,-0.108990548921378,0.0648723425743516,-0.140882804800673,-0.370172635411862,-0.000347658068387642,19.1950464396285,32.1981424148607,-0.0441182063470264,0.229289830611189
"4",559,-0.0756919384260748,0.0196087660167393,-0.124335386287266,-0.154084203884998,0.00451714181342982,44.3649373881932,20.0357781753131,-0.0560831724093355,0.0297488175977327
"14",75,-0.0953419271555969,-0.002346647774758,-0.244306774460174,-0.625173916835373,-0.0199579492549419,36,24,-0.0976885749303549,0.380867142375199
"12",98,-0.142742142786337,0.0377593461208277,-0.183591109162243,-0.597995131828051,0.00784614375281975,72.4489795918367,12.2448979591837,-0.10498279666551,0.414404022665808
"16",46,0.25307242541986,-0.358522766211272,-0.547522967750161,-0.643299661032832,-0.0315298434034199,4.34782608695652,6.52173913043478,-0.105450340791413,0.0957766932826708
"1",908,-0.180871570037625,-0.191201960394987,-0.293344650881518,0.363498358225613,-0.0132414344682731,21.3656387665198,43.1718061674009,-0.372073530432612,-0.656843009107131
"9",124,-0.180388416624598,-0.214474051527359,-0.266944979929924,-0.472077129073015,-0.0122215997169022,6.45161290322581,63.7096774193548,-0.394862468151957,0.205132149143091
"2",769,-0.172322468212578,-0.358265319165028,-0.395923619600051,0.476253426613261,-0.0498084158099163,18.5955786736021,56.5669700910273,-0.530587787377606,-0.872177046213311
