"celltype","condition","HIF_mean","NFKB_mean","M1_mean","M2_mean","HIF_NFKB_cor","n"
"Endothelial","DM",-0.0533159338822529,0.0568429111427731,0.0293850275172466,-0.0243556927619367,0.178105519732627,1639
"Endothelial","Healing",-0.048096235534454,0.0384829146467362,-0.0132664731601683,-0.00963811422608259,0.0484071104882151,2267
"Endothelial","Healthy",-0.118456617658712,-0.0479041329338704,-0.0565904728106641,-0.0332963119215247,0.155607599155508,3311
"Endothelial","NonHealing",-0.0906503176155941,-0.0353310514779755,-0.0351550296896658,-0.0173491256726322,0.0935245414387662,1614
"Fibroblast","DM",0.0244870443043428,-0.0560571098546171,-0.0535288566417196,-0.0475497057625431,0.228166582943578,4647
"Fibroblast","Healing",0.114407769511221,-0.0422489778937349,-0.0363661778551122,-0.0484793028528327,0.164831667053734,9964
"Fibroblast","Healthy",-0.0404912524716251,-0.0973550768934834,-0.109110571752571,-0.0494414659393236,0.157792455641149,12224
"Fibroblast","NonHealing",-0.0380406640623991,-0.0959325307168216,-0.0913173982003197,-0.0425842508618347,-0.0363273659231388,4184
"Keratinocyte","DM",0.116755952270751,-0.0669172177638524,-0.158517516807292,-0.0613301407277472,-0.114253013989421,1379
"Keratinocyte","Healing",0.15046567460995,-0.0346640694861537,-0.112978262014102,-0.0583714585441526,0.0030347637153516,2335
"Keratinocyte","Healthy",0.044162689772656,-0.0711203503025855,-0.193420584251203,-0.0588457844775445,0.0381466013179538,6821
"Keratinocyte","NonHealing",0.0748900944463383,-0.00906089066896505,-0.103886469106708,-0.0538790821376259,-0.0330135817221151,2762
"Lymphatic_Endo","DM",-0.0319264902470913,-0.0873706121971789,-0.115063492218059,0.0342337982762426,0.10818901581553,184
"Lymphatic_Endo","Healing",-0.0265696800194913,-0.120252545669601,-0.115573469641897,0.0925500995269697,0.00848429624989322,174
"Lymphatic_Endo","Healthy",-0.0910881523570134,-0.137368734904211,-0.165875764593116,0.0345398830630712,-0.0520844849768461,394
"Lymphatic_Endo","NonHealing",-0.0838457775376612,-0.141294490159868,-0.150697856885051,0.0507212595587427,0.0744484048019943,140
"Macrophage","DM",-0.0377594061136218,0.162697255620913,0.219537756235712,0.62879011178719,0.0665985813792058,311
"Macrophage","Healing",0.041617132196611,0.346807078482511,0.401786342704456,0.52884229803453,0.101948219445225,1001
"Macrophage","Healthy",-0.056503245398309,0.201427457213242,0.103398027992644,0.576255478706502,0.232882499214885,536
"Macrophage","NonHealing",-0.0909050377452695,0.244946532369382,0.225951925015651,0.842445586571685,-0.0560799876853705,1181
"Mast_cell","DM",-0.0518435610265787,0.171922708044596,-0.0274881270028754,0.00914223658061379,0.0700493995950007,123
"Mast_cell","Healing",-0.0914731802313963,0.154346566721146,-0.0439225298296362,0.00744749596203472,0.036083896428618,826
"Mast_cell","Healthy",-0.0806607857026503,0.0515418474687182,-0.0916824480899253,-0.00543579062072719,-0.0121387481236789,1094
"Mast_cell","NonHealing",-0.0951709807303101,0.0884289385718014,-0.062296198116551,-0.00189777525574708,-0.0671730263524809,635
"Melanocyte","DM",-0.0502464093608851,-0.157372721669376,-0.217730671807978,-0.0356382820148557,-0.161950347149169,97
"Melanocyte","Healing",0.0325012799579698,-0.0299091502066392,-0.174260656846235,-0.0427233356398696,-0.0021978021978022,14
"Melanocyte","Healthy",-0.0875272829067508,-0.104991893335239,-0.183960966312231,-0.0494956652956563,-0.0240329886859978,562
"Melanocyte","NonHealing",-0.0560135397245599,-0.149228742118092,-0.209156095999859,-0.0483976128008586,-0.00158287082026231,264
"Myeloid","DM",0.0509380207100372,0.511989451156566,0.491029457835914,0.144447197690978,0.224861517603593,252
"Myeloid","Healing",0.111226729807315,0.782630039447186,0.767517468254628,0.140146384312968,0.249960101569924,1506
"Myeloid","Healthy",-0.00444431057486325,0.559839515949301,0.370380850012217,0.12443287609467,0.340655406941556,729
"Myeloid","NonHealing",-0.0299452306094787,0.575758661629551,0.457107729835129,0.238293791794497,0.267770227988082,801
"Pericyte","DM",-0.0423968525809989,-0.0526331530838135,-0.0288127470504055,-0.0341634610609621,0.201012352916545,1001
"Pericyte","Healing",-0.0308437683871023,-0.0948764055274527,-0.0856233073751568,-0.0468418464788749,0.0714656089874804,3363
"Pericyte","Healthy",-0.0497778950054767,-0.115836365686539,-0.120171114017763,-0.0379577910533103,0.248143150669287,2821
"Pericyte","NonHealing",-0.0781249236287619,-0.105344531729165,-0.096562081974572,-0.0448817636468048,0.107793731121021,1396
"Smooth_Muscle","DM",-0.0730547798641474,-0.0725618033977302,-0.0359089909467656,-0.0486087896561126,0.173402240750852,765
"Smooth_Muscle","Healing",-0.0467781298804781,-0.0717291036885431,-0.060724036284284,-0.0474064119670834,0.0285135612073603,1811
"Smooth_Muscle","Healthy",-0.107701963006812,-0.0962901343990111,-0.0356700310260872,-0.0532714202048061,0.0258022285204513,3280
"Smooth_Muscle","NonHealing",-0.0899080018247199,-0.0722870754827136,0.0120270081223342,-0.0505053789852803,0.106895286848208,1778
"T_cell","DM",-0.0406617374948718,0.161619820533081,-0.0956072623112309,0.0106948472905482,-0.00350519194816045,647
"T_cell","Healing",-0.0706608845339562,0.18078685230381,-0.0805372788060517,0.00554843979386967,0.00829007757251939,2000
"T_cell","Healthy",-0.0735531092528486,0.159653628545107,-0.0994364940096175,-0.00109448042683789,0.15702832792461,1523
"T_cell","NonHealing",-0.0718026358966259,0.149670669095162,-0.084544418971842,0.0223667991451635,0.067144482103885,1781
