source,target,mean_rank_diff,n_gained,n_lost,n_total,net_change,pct_gained
B_cells,Basalis_fibroblast,-0.04767821392340445,85,64,194,21,0.4381443298969072
B_cells,CD133+_progenitor,0.029445846227093102,67,89,227,-22,0.29515418502202645
B_cells,SOX9+LGR5+_stem,0.07045057120147755,49,79,178,-30,0.2752808988764045
Basalis_fibroblast,B_cells,-0.033905570394518914,44,35,127,9,0.3464566929133858
Basalis_fibroblast,Basalis_fibroblast,-0.09075748484043031,154,67,314,87,0.49044585987261147
Basalis_fibroblast,CD133+_progenitor,-0.007405651471656821,151,131,386,20,0.3911917098445596
Basalis_fibroblast,Decidualized_stromal,-0.03598516512573898,155,114,354,41,0.4378531073446328
Basalis_fibroblast,Glandular_epithelium,-0.003019705030593298,172,166,447,6,0.38478747203579416
Basalis_fibroblast,Lymphatic_endothelium,-0.08101127902224284,202,105,397,97,0.5088161209068011
Basalis_fibroblast,Lymphoid_immune,-0.06607374668281156,173,102,374,71,0.4625668449197861
Basalis_fibroblast,Macrophages,-0.043551378500477855,133,94,297,39,0.4478114478114478
Basalis_fibroblast,NKT_cells,-0.086926049704552,74,27,166,47,0.4457831325301205
Basalis_fibroblast,SOX9+LGR5+_stem,0.05805157429339649,82,136,277,-54,0.296028880866426
Basalis_fibroblast,Smooth_muscle,-0.12579743304939398,147,41,250,106,0.588
CD133+_progenitor,B_cells,0.06765053924359281,38,65,132,-27,0.2878787878787879
CD133+_progenitor,Basalis_fibroblast,-0.04918349750680833,133,95,278,38,0.4784172661870504
CD133+_progenitor,CD133+_progenitor,0.02496121000636986,131,150,360,-19,0.3638888888888889
CD133+_progenitor,Decidualized_stromal,0.004044683120079516,139,127,332,12,0.4186746987951807
CD133+_progenitor,Glandular_epithelium,0.04478941196913058,139,193,420,-54,0.33095238095238094
CD133+_progenitor,Lymphatic_endothelium,0.01823428331548721,146,151,374,-5,0.39037433155080214
CD133+_progenitor,Lymphoid_immune,-0.010447517239296789,142,129,344,13,0.4127906976744186
CD133+_progenitor,Macrophages,0.012680000182219457,95,117,281,-22,0.33807829181494664
CD133+_progenitor,NKT_cells,-0.03134670081521583,68,63,165,5,0.4121212121212121
CD133+_progenitor,SOX9+LGR5+_stem,0.05400222772178674,86,123,279,-37,0.30824372759856633
CD133+_progenitor,Smooth_muscle,-0.043009348864265606,117,87,242,30,0.4834710743801653
Decidualized_stromal,Basalis_fibroblast,-0.056740883453547365,151,100,351,51,0.4301994301994302
Decidualized_stromal,CD133+_progenitor,-0.0007862820351565383,163,150,460,13,0.35434782608695653
Decidualized_stromal,SOX9+LGR5+_stem,0.05854987563643736,95,146,328,-51,0.2896341463414634
Glandular_epithelium,Basalis_fibroblast,-0.031728188038516215,141,97,290,44,0.4862068965517241
Glandular_epithelium,CD133+_progenitor,-6.40256080220066e-05,146,137,370,9,0.3945945945945946
Glandular_epithelium,SOX9+LGR5+_stem,0.03847118468521826,91,126,287,-35,0.3170731707317073
Lymphatic_endothelium,Basalis_fibroblast,-0.10684929294733274,180,62,309,118,0.5825242718446602
Lymphatic_endothelium,CD133+_progenitor,-0.009243969496065561,151,136,367,15,0.4114441416893733
Lymphatic_endothelium,SOX9+LGR5+_stem,0.024521306787566477,94,122,277,-28,0.33935018050541516
Lymphoid_immune,Basalis_fibroblast,-0.10568628888470191,187,67,337,120,0.5548961424332344
Lymphoid_immune,CD133+_progenitor,-0.016477222353395545,169,147,445,22,0.3797752808988764
Lymphoid_immune,SOX9+LGR5+_stem,0.02394695876742715,110,132,317,-22,0.3470031545741325
Macrophages,Basalis_fibroblast,-0.029380635710231442,115,86,257,29,0.4474708171206226
Macrophages,CD133+_progenitor,0.05782782717719514,78,130,303,-52,0.25742574257425743
Macrophages,SOX9+LGR5+_stem,0.0627527530669429,68,122,239,-54,0.28451882845188287
NKT_cells,Basalis_fibroblast,-0.061011421680867775,86,53,172,33,0.5
NKT_cells,CD133+_progenitor,0.04643174172844838,59,84,204,-25,0.28921568627450983
NKT_cells,SOX9+LGR5+_stem,0.06532625726631461,46,76,162,-30,0.2839506172839506
SOX9+LGR5+_stem,B_cells,0.04609757617061096,38,49,113,-11,0.336283185840708
SOX9+LGR5+_stem,Basalis_fibroblast,-0.004683259959320648,94,89,248,5,0.3790322580645161
SOX9+LGR5+_stem,CD133+_progenitor,0.06734960197107497,95,139,312,-44,0.30448717948717946
SOX9+LGR5+_stem,Decidualized_stromal,0.027619163196914466,108,112,298,-4,0.3624161073825503
SOX9+LGR5+_stem,Glandular_epithelium,0.05868018034579584,113,164,366,-51,0.3087431693989071
SOX9+LGR5+_stem,Lymphatic_endothelium,0.044892272673811184,102,138,335,-36,0.3044776119402985
SOX9+LGR5+_stem,Lymphoid_immune,0.02103853710110407,109,133,310,-24,0.35161290322580646
SOX9+LGR5+_stem,Macrophages,0.026438889383659583,82,111,253,-29,0.3241106719367589
SOX9+LGR5+_stem,NKT_cells,0.02525219171851241,45,55,147,-10,0.30612244897959184
SOX9+LGR5+_stem,SOX9+LGR5+_stem,0.10886748709665942,68,131,245,-63,0.27755102040816326
SOX9+LGR5+_stem,Smooth_muscle,-0.017820305600135575,87,74,222,13,0.3918918918918919
Smooth_muscle,Basalis_fibroblast,-0.16348845171398874,182,44,275,138,0.6618181818181819
Smooth_muscle,CD133+_progenitor,-0.0851104972116358,191,88,343,103,0.5568513119533528
Smooth_muscle,SOX9+LGR5+_stem,0.0017564454580201606,89,101,248,-12,0.3588709677419355
