celltype,pathway,ctrl_mean,as_mean,diff,pvalue,padj
SOX9+LGR5+_stem,WNT,0.06974884978568979,0.05827542051546466,-0.011473429270225134,0.008084705891689874,0.010212260073713526
CD133+_progenitor,WNT,0.045007078013316784,0.054003877188179956,0.008996799174863172,0.009714871882717158,0.01165784625926059
Basalis_fibroblast,WNT,0.08216078014223539,0.11704235093857779,0.034881570796342395,2.540627703316119e-17,1.5243766219896715e-16
SOX9+LGR5+_stem,NOTCH,0.09652949151454528,0.05462332779409269,-0.04190616372045259,9.83876613074591e-13,1.967753226149182e-12
CD133+_progenitor,NOTCH,0.14846195084291253,0.18943732589474893,0.040975375051836405,0.0005472772270741717,0.0007726266735164777
Basalis_fibroblast,NOTCH,0.07133144603172978,0.17325044737898845,0.10191900134725868,7.772240231043635e-29,9.326688277252363e-28
SOX9+LGR5+_stem,TGFb_BMP,0.08536679706291336,0.04633843950149349,-0.039028357561419875,4.043292518591589e-13,1.0782113382910903e-12
CD133+_progenitor,TGFb_BMP,0.1055000272573375,0.08998747044534972,-0.01551255681198778,0.0071652917457940045,0.009553722327725339
Basalis_fibroblast,TGFb_BMP,0.1270166622614746,0.15447687779161254,0.027460215530137944,3.756950826680126e-05,5.635426240020189e-05
SOX9+LGR5+_stem,FGF,0.12092115884809354,0.09424391830476789,-0.026677240543325653,6.499354438465233e-06,1.1141750465940399e-05
CD133+_progenitor,FGF,0.11258911605482481,0.04114186179745439,-0.07144725425737042,1.6831289361928139e-15,5.770727781232505e-15
Basalis_fibroblast,FGF,0.12033719937995276,0.12218668866276593,0.0018494892828131715,0.8617311025060539,0.8617311025060539
SOX9+LGR5+_stem,EGF,0.1688884265509427,0.09621036030267599,-0.0726780662482667,7.309213395600071e-13,1.7270168591964402e-12
CD133+_progenitor,EGF,0.1380845517913327,0.09855832930947224,-0.039526222481860454,1.2997729066505785e-05,2.0796366506409256e-05
Basalis_fibroblast,EGF,0.05023400502197096,0.08483304290470421,0.034599037882733254,7.915493937983684e-13,1.7270168591964402e-12
SOX9+LGR5+_stem,Hedgehog,0.10362207399222499,0.042576884456908166,-0.061045189535316825,9.768232819049154e-16,4.581362989162499e-15
CD133+_progenitor,Hedgehog,0.03790843450273596,0.043513365473984676,0.005604930971248714,0.6213091433840157,0.648322584400712
Basalis_fibroblast,Hedgehog,0.0411775279615089,0.10616561440731698,0.06498808644580809,2.027529694064115e-14,6.082589082192345e-14
SOX9+LGR5+_stem,Cytokine,0.2472862010536827,0.12783874100775622,-0.11944746004592649,7.530551049666017e-25,6.024440839732814e-24
CD133+_progenitor,Cytokine,0.2536061478611047,0.15520751243456907,-0.09839863542653562,1.1453407472906247e-15,4.581362989162499e-15
Basalis_fibroblast,Cytokine,0.1814880935066266,0.17150954727496442,-0.009978546231662166,0.3742499396102621,0.4082726613930132
SOX9+LGR5+_stem,Chemokine,0.22656129756379986,0.13245409116261805,-0.09410720640118181,3.963918878031367e-12,7.318004082519447e-12
CD133+_progenitor,Chemokine,0.25823101977001267,0.05351142710161036,-0.2047195926684023,7.551583529782848e-48,1.8123800471478837e-46
Basalis_fibroblast,Chemokine,0.08024178358202022,0.0709181603486055,-0.009323623233414721,0.08260878716237968,0.09441004247129106
